INPUT,,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
Acephate,20,183.0119,-,-,2.10E-05,1.207,0.743,-,133.808,48.542,0.202,0.0019999,-,-,-,-,-,4.08E-01,1.13E-11,1.22245,3.55577,2.87E+02,4.94E-09,0.108103,8.72198,2.01033,-0.848194,8.80E+01,1.71E-06,4.38636
Acetamiprid,82.6,222.06722,-,-,3.82E-05,1.063,0.6,-,109.396,91.56,0.819,0.0028314,-,-,-,-,-,4.94E-02,8.45E-12,14.029,4.64121,3.14E+02,3.40E-09,0.798824,6.87615,120.043,1.83414,9.89E+01,9.20E-05,0.0169313
Aclonifen,45,264.03017,138.038,3.76E+02,3.28E-06,1.438,6.83E-01,3.90E-06,204.241,122.649,0.723,0.0073283,-,1.43E+02,9.42E-06,-,1.62E-08,4.33E-06,9.90E-12,189.573,4.66332,3.49E+02,5.83E-08,0.0780325,10.2291,5148.39,4.03935,8.17E+01,1.19E-07,7.01E-06
Alachlor,78.2,269.11826,16.8655,3.37E+02,1.58E-05,1.116,7.57E-01,1.92E-05,173.085,12.575,0.369,0.0044463,-,1.45E+02,5.42E-05,2.65E+01,7.73E-06,7.82E-04,1.38E-11,13.2282,4.32015,2.98E+02,8.34E-09,0.0795857,9.72039,190.919,3.51767,3.95E+01,1.38E-05,0.0007645
Albendazole,45.6,265.0885,6.08135,4.49E+02,1.15E-05,1.364,9.05E-01,1.59E-05,250.987,218.924,0.479,0.0068234,-,-,-,-,1.17E-08,4.92E-05,1.65E-11,9.39176,3.53565,2.77E+02,7.20E-09,0.501858,9.34695,557.458,3.06823,2.09E+02,9.94E-10,2.11E-06
Aldicarb,30.3,190.0776,-,2.69E+02,2.39E-06,1.1,6.56E-01,5.90E-06,134.192,68.475,5.05E-01,2.34E-05,-,-,-,-,0.0001387,2.55E-02,1.43E-11,13.8305,3.54517,2.53E+02,2.36E-08,0.110306,7.49874,31.643,1.12863,9.84E+01,3.50E-05,0.0302814
Aldicarb sulfone,40.6,222.06743,-,3.10E+02,3.43E-05,1.217,7.83E-01,1.63E-05,220.857,125.828,0.62,0.0014723,-,-,-,-,1.24E-05,4.92E-02,2.72E-11,1.0197,4.65414,3.11E+02,1.11E-09,0.089549,7.71651,2.64411,-0.567942,1.41E+02,8.80E-05,0.0210245
Aldicarb sulfoxide,67.4,206.07251,-,2.83E+02,2.72E-05,1.166,9.73E-01,4.66E-05,176.037,109.018,-,8.93E-05,-,-,-,-,3.86E-05,3.80E-02,1.85E-11,3.55123,4.47601,3.11E+02,2.91E-10,0.111736,8.76091,3.64936,0.492506,1.21E+02,9.96E-05,0.135754
Ametryn,65.3,227.12047,5.28445,3.61E+02,8.13E-05,1.175,6.08E-01,6.01E-05,186.304,87.819,0.207,0.0045604,-,-,-,-,8.71E-07,1.11E-03,1.50E-11,6.50732,3.35341,3.45E+02,2.34E-08,0.138197,9.06819,389.067,2.9793,8.81E+01,2.73E-06,0.0009012
Aminocarb,34.2,208.12118,7.04693,3.10E+02,2.62E-05,1.06,7.73E-01,6.05E-05,149.141,78.565,0.651,0.00026,-,-,-,1.88E+01,2.63E-05,3.27E-03,1.46E-11,15.901,4.63697,2.85E+02,4.28E-09,0.247212,8.62945,100.133,1.9013,9.35E+01,1.61E-05,0.004362
